query_id,intent,label,duplicate_group
q_01126,Acknowledgment,irrelevant,824
q_00049,Greeting,irrelevant,825
q_01071,Other,relevant,826
q_01333,Acknowledgment,irrelevant,827
q_01075,Medical,relevant,828
q_01704,Language change,relevant,829
q_01528,Acknowledgment,irrelevant,830
q_00403,Medical,relevant,831
q_00507,Medical,relevant,832
q_00420,Medical,relevant,833
q_01765,Delivery confirmation,relevant,834
q_01391,Acknowledgment,irrelevant,835
q_01700,Language change,relevant,836
q_00641,Medical,relevant,837
q_01529,Medical,relevant,838
q_00598,Medical,relevant,839
q_00692,Medical,relevant,840
q_01218,Acknowledgment,irrelevant,841
q_00584,Medical,relevant,842
q_00056,Greeting,irrelevant,843
q_00070,Greeting,irrelevant,844
q_00558,Medical,relevant,845
q_00500,Medical,relevant,846
q_01586,OSS,irrelevant,847
q_01679,Language change,relevant,848
q_00126,Acknowledgment,irrelevant,849
q_01209,Acknowledgment,irrelevant,850
q_00859,Medical,relevant,851
q_01580,OSS,irrelevant,852
q_01473,Acknowledgment,irrelevant,853
q_00031,Greeting,irrelevant,854
q_01379,Acknowledgment,irrelevant,855
q_01793,Date,relevant,856
q_00301,Language change,relevant,857
q_00158,Acknowledgment,irrelevant,858
q_00352,Medical,relevant,859
q_00399,Medical,relevant,860
q_00715,Medical,relevant,861
q_00970,Automated message,irrelevant,862
q_01217,Acknowledgment,irrelevant,863
q_00041,Greeting,irrelevant,864
q_00375,Medical,relevant,865
q_01051,Medical,relevant,866
q_00679,Medical,relevant,867
q_00948,Medical,relevant,868
q_01650,OSS,irrelevant,869
q_01243,Acknowledgment,irrelevant,870
q_01289,Acknowledgment,irrelevant,871
q_00428,Medical,relevant,872
q_01484,Feedback,relevant,873
q_00566,Medical,relevant,874
q_00513,Medical,relevant,875
q_00400,Medical,relevant,876
q_00043,Greeting,irrelevant,877
q_00810,Medical,relevant,878
q_00840,Medical,relevant,879
q_01399,Delivery confirmation,relevant,880
q_01741,Delivery confirmation,relevant,881
q_01260,Acknowledgment,irrelevant,882
q_01461,Acknowledgment,irrelevant,883
q_00930,Medical,relevant,884
q_00349,Medical,relevant,885
q_01024,Date,relevant,886
q_00191,Acknowledgment,irrelevant,887
q_00192,Acknowledgment,irrelevant,888
q_00161,Other,relevant,889
q_01519,Medical,relevant,890
q_01597,OSS,irrelevant,891
q_01768,Delivery confirmation,relevant,892
q_00425,Medical,relevant,893
q_00309,Language change,relevant,894
q_00137,Acknowledgment,irrelevant,895
q_01535,Acknowledgment,irrelevant,896
q_00002,Greeting,irrelevant,897
q_01353,Acknowledgment,irrelevant,898
q_01016,Date,relevant,899
q_00320,Language change,relevant,900
q_00130,Acknowledgment,irrelevant,901
q_00051,Greeting,irrelevant,902
